province,product_line,claim_type,quarter_start,calendar_year,calendar_quarter,claim_count,customer_count,policy_count,total_claim_amount,average_claim_amount,decided_claim_count,denied_claim_count,pending_claim_count,denial_rate,total_approved_amount,average_approved_amount
ON,health,prescription_drugs,2025-07-01,2025,3,1,1,1,37.68,37.68,1,0,0,0.0000,37.68,37.68
SK,dental,basic,2025-07-01,2025,3,3,2,2,833.87,277.96,3,1,0,0.3333,589.25,294.63
SK,dental,preventive,2025-07-01,2025,3,2,2,2,374.37,187.19,2,0,0,0.0000,374.37,187.19
SK,health,health_practitioner,2025-07-01,2025,3,3,3,3,512.57,170.86,3,0,0,0.0000,512.57,170.86
SK,health,hospital_cash,2025-07-01,2025,3,1,1,1,323.21,323.21,1,1,0,1.0000,0.00,
SK,health,medical_equipment,2025-07-01,2025,3,2,2,2,580.86,290.43,2,0,0,0.0000,580.86,290.43
SK,health,prescription_drugs,2025-07-01,2025,3,2,2,2,82.66,41.33,2,0,0,0.0000,82.66,41.33
SK,health,vision,2025-07-01,2025,3,1,1,1,151.48,151.48,1,0,0,0.0000,151.48,151.48
AB,dental,basic,2025-10-01,2025,4,1,1,1,475.45,475.45,1,0,0,0.0000,475.45,475.45
AB,dental,preventive,2025-10-01,2025,4,2,2,2,279.14,139.57,2,0,0,0.0000,223.31,111.66
AB,health,health_practitioner,2025-10-01,2025,4,3,3,3,547.82,182.61,3,1,0,0.3333,353.98,176.99
AB,health,hearing_aids,2025-10-01,2025,4,1,1,1,1544.25,1544.25,1,0,0,0.0000,1544.25,1544.25
AB,health,prescription_drugs,2025-10-01,2025,4,2,2,2,1987.68,993.84,2,1,0,0.5000,1504.00,1504.00
AB,health,vision,2025-10-01,2025,4,1,1,1,180.54,180.54,1,0,0,0.0000,180.54,180.54
AB,travel,emergency_medical,2025-10-01,2025,4,1,1,1,1493.91,1493.91,1,0,0,0.0000,1493.91,1493.91
AB,travel,trip_cancellation,2025-10-01,2025,4,2,2,2,2864.75,1432.38,2,0,0,0.0000,2522.21,1261.11
BC,dental,major,2025-10-01,2025,4,1,1,1,687.49,687.49,1,1,0,1.0000,0.00,
BC,dental,preventive,2025-10-01,2025,4,1,1,1,235.49,235.49,1,0,0,0.0000,235.49,235.49
BC,health,ambulance,2025-10-01,2025,4,1,1,1,207.97,207.97,1,0,0,0.0000,207.97,207.97
BC,health,vision,2025-10-01,2025,4,1,1,1,177.01,177.01,1,0,0,0.0000,177.01,177.01
MB,dental,major,2025-10-01,2025,4,1,1,1,800.00,800.00,1,0,0,0.0000,640.00,640.00
MB,health,health_practitioner,2025-10-01,2025,4,1,1,1,367.85,367.85,1,0,0,0.0000,367.85,367.85
NL,dental,preventive,2025-10-01,2025,4,1,1,1,287.06,287.06,1,0,0,0.0000,287.06,287.06
NL,health,ambulance,2025-10-01,2025,4,1,1,1,361.17,361.17,1,0,0,0.0000,288.94,288.94
ON,dental,basic,2025-10-01,2025,4,1,1,1,223.55,223.55,1,0,0,0.0000,223.55,223.55
ON,health,prescription_drugs,2025-10-01,2025,4,2,2,2,43.58,21.79,2,0,0,0.0000,43.58,21.79
SK,dental,basic,2025-10-01,2025,4,1,1,1,417.80,417.80,1,0,0,0.0000,417.80,417.80
SK,health,ambulance,2025-10-01,2025,4,1,1,1,606.11,606.11,1,0,0,0.0000,606.11,606.11
SK,health,health_practitioner,2025-10-01,2025,4,4,4,4,548.70,137.18,4,0,0,0.0000,512.16,128.04
SK,health,prescription_drugs,2025-10-01,2025,4,1,1,1,39.02,39.02,1,0,0,0.0000,39.02,39.02
YT,health,health_practitioner,2025-10-01,2025,4,1,1,1,190.31,190.31,1,0,0,0.0000,190.31,190.31
AB,dental,preventive,2026-01-01,2026,1,1,1,1,940.00,940.00,1,1,0,1.0000,0.00,
AB,health,health_practitioner,2026-01-01,2026,1,4,4,4,4884.67,1221.17,4,0,0,0.0000,4869.70,1217.43
AB,health,prescription_drugs,2026-01-01,2026,1,1,1,1,20.00,20.00,1,0,0,0.0000,20.00,20.00
AB,health,vision,2026-01-01,2026,1,1,1,1,227.00,227.00,1,0,0,0.0000,181.60,181.60
AB,travel,trip_cancellation,2026-01-01,2026,1,1,1,1,1483.26,1483.26,1,0,0,0.0000,1483.26,1483.26
MB,dental,basic,2026-01-01,2026,1,2,2,2,614.29,307.15,2,0,0,0.0000,491.43,245.72
MB,health,prescription_drugs,2026-01-01,2026,1,1,1,1,50.79,50.79,1,0,0,0.0000,50.79,50.79
NL,health,prescription_drugs,2026-01-01,2026,1,1,1,1,223.79,223.79,1,0,0,0.0000,223.79,223.79
ON,dental,preventive,2026-01-01,2026,1,1,1,1,244.46,244.46,1,0,0,0.0000,244.46,244.46
ON,health,ambulance,2026-01-01,2026,1,1,1,1,219.05,219.05,1,0,0,0.0000,219.05,219.05
ON,health,health_practitioner,2026-01-01,2026,1,1,1,1,101.61,101.61,1,0,0,0.0000,101.61,101.61
ON,health,medical_equipment,2026-01-01,2026,1,1,1,1,890.06,890.06,1,0,0,0.0000,890.06,890.06
ON,health,prescription_drugs,2026-01-01,2026,1,1,1,1,68.32,68.32,1,0,0,0.0000,54.66,54.66
SK,dental,preventive,2026-01-01,2026,1,1,1,1,263.96,263.96,1,0,0,0.0000,263.96,263.96
SK,health,health_practitioner,2026-01-01,2026,1,2,2,2,150.36,75.18,2,1,0,0.5000,50.34,50.34
SK,health,prescription_drugs,2026-01-01,2026,1,3,2,2,85.97,28.66,3,0,0,0.0000,85.97,28.66
SK,health,vision,2026-01-01,2026,1,1,1,1,155.35,155.35,1,0,0,0.0000,124.28,124.28
AB,dental,basic,2026-04-01,2026,2,2,2,2,573.68,286.84,1,0,1,0.0000,279.17,279.17
AB,dental,preventive,2026-04-01,2026,2,1,1,1,157.99,157.99,0,0,1,,,
AB,health,ambulance,2026-04-01,2026,2,1,1,1,335.74,335.74,1,1,0,1.0000,0.00,
AB,health,health_practitioner,2026-04-01,2026,2,1,1,1,365.73,365.73,0,0,1,,,
AB,health,medical_equipment,2026-04-01,2026,2,1,1,1,421.54,421.54,0,0,1,,,
AB,health,prescription_drugs,2026-04-01,2026,2,2,2,2,154.19,77.10,1,0,1,0.0000,123.54,123.54
AB,travel,baggage,2026-04-01,2026,2,1,1,1,590.68,590.68,1,0,0,0.0000,590.68,590.68
AB,travel,emergency_medical,2026-04-01,2026,2,2,1,1,3420.80,1710.40,1,1,1,1.0000,0.00,
AB,travel,trip_cancellation,2026-04-01,2026,2,1,1,1,1107.65,1107.65,1,0,0,0.0000,1107.65,1107.65
BC,dental,preventive,2026-04-01,2026,2,1,1,1,285.32,285.32,1,0,0,0.0000,285.32,285.32
BC,health,health_practitioner,2026-04-01,2026,2,2,2,2,133.04,66.52,1,0,1,0.0000,56.79,56.79
MB,dental,major,2026-04-01,2026,2,1,1,1,1176.65,1176.65,1,0,0,0.0000,941.32,941.32
MB,dental,preventive,2026-04-01,2026,2,1,1,1,194.27,194.27,1,0,0,0.0000,155.42,155.42
MB,health,health_practitioner,2026-04-01,2026,2,1,1,1,121.17,121.17,0,0,1,,,
MB,health,hearing_aids,2026-04-01,2026,2,1,1,1,1200.00,1200.00,0,0,1,,,
ON,dental,basic,2026-04-01,2026,2,1,1,1,385.50,385.50,0,0,1,,,
ON,health,health_practitioner,2026-04-01,2026,2,1,1,1,288.45,288.45,0,0,1,,,
ON,health,hospital_cash,2026-04-01,2026,2,1,1,1,82.52,82.52,0,0,1,,,
ON,health,prescription_drugs,2026-04-01,2026,2,1,1,1,35.60,35.60,1,0,0,0.0000,28.48,28.48
ON,health,vision,2026-04-01,2026,2,1,1,1,319.05,319.05,1,0,0,0.0000,319.05,319.05
SK,dental,basic,2026-04-01,2026,2,1,1,1,410.03,410.03,1,0,0,0.0000,410.03,410.03
SK,dental,preventive,2026-04-01,2026,2,3,3,3,587.41,195.80,2,1,1,0.5000,171.60,171.60
SK,health,health_practitioner,2026-04-01,2026,2,1,1,1,147.50,147.50,1,0,0,0.0000,147.50,147.50
SK,health,prescription_drugs,2026-04-01,2026,2,3,3,3,94.43,31.48,3,1,0,0.3333,45.26,22.63
SK,health,vision,2026-04-01,2026,2,1,1,1,141.39,141.39,0,0,1,,,
