premium_id,policy_id,customer_id,premium_amount,premium_frequency,age_band,due_date,paid_date,payment_status,payment_method
PRM000050,P00164,C00084,499.20,monthly,75+,2023-08-05,2023-08-02,paid,cheque
PRM000051,P00082,C00143,51.75,monthly,35-44,2023-08-06,2023-08-03,paid,credit_card
PRM000052,P00135,C00135,448.00,monthly,75+,2023-08-06,2023-08-03,paid,pad
PRM000053,P00065,C00047,192.00,monthly,75+,2023-08-07,2023-08-05,paid,pad
PRM000054,P00133,C00097,530.40,monthly,65-74,2023-08-07,2023-08-07,paid,credit_card
PRM000055,P00147,C00057,35.00,monthly,Under 35,2023-08-09,2023-08-09,paid,pad
PRM000056,P00009,C00037,588.00,quarterly,45-54,2023-08-10,2023-08-07,paid,credit_card
PRM000057,P00057,C00033,49.00,monthly,45-54,2023-08-10,2023-08-08,paid,credit_card
PRM000058,P00003,C00107,85.00,monthly,Under 35,2023-08-12,2023-08-11,paid,credit_card
PRM000059,P00138,C00105,196.00,monthly,45-54,2023-08-13,2023-08-13,paid,cheque
PRM000060,P00058,C00077,69.00,monthly,35-44,2023-08-14,2023-08-13,paid,credit_card
PRM000061,P00118,C00146,530.40,monthly,65-74,2023-08-15,2023-08-14,paid,cheque
PRM000062,P00137,C00064,397.80,monthly,55-64,2023-08-15,2023-08-15,paid,cheque
PRM000063,P00020,C00131,638.40,monthly,65-74,2023-08-16,2023-08-13,paid,cheque
PRM000064,P00142,C00091,161.50,monthly,Under 35,2023-08-17,2023-08-15,paid,credit_card
PRM000065,P00098,C00089,$192.00 CAD,monthly,75+,2023-08-20,2023-08-17,paid,cheque
PRM000066,P00076,C00021,228.00,monthly,Under 35,2023-08-21,2023-08-21,paid,cheque
PRM000067,P00042,C00129,478.80,monthly,55-64,2023-08-22,2023-08-30,late,pad
PRM000068,P00029,C00044,189.00,quarterly,45-54,2023-08-24,2023-08-23,paid,cheque
PRM000069,P00125,C00027,336.00,monthly,65-74,2023-08-25,2023-09-07,late,credit_card
PRM000070,P00014,C00040,108.00,monthly,65-74,2023-08-26,2023-08-23,paid,pad
PRM000071,P00117,C00014,84.00,monthly,65-74,2023-08-26,2023-08-24,paid,pad
PRM000072,P00069,C00005,384.00,monthly,75+,2023-08-27,2023-08-27,paid,cheque
PRM000073,P00096,C00008,63.00,monthly,55-64,2023-08-27,2023-08-24,paid,credit_card
PRM000074,P00046,C00149,364.00,monthly,Under 35,2023-08-28,2023-08-26,paid,credit_card
PRM000075,P00050,C00034,66.50,monthly,Under 35,2023-08-28,2023-08-28,paid,credit_card
PRM000076,P00101,C00068,49.00,monthly,45-54,2023-08-28,2023-08-25,paid,cheque
PRM000077,P00158,C00008,290.70,monthly,55-64,2023-08-28,2023-08-27,paid,credit_card
PRM000078,P00018,C00149,117.00,monthly,Under 35,2023-08-30,2023-08-28,paid,cheque
PRM000079,P00171,C00076,272.00,monthly,75+,2023-09-01,2023-08-30,paid,pad
PRM000080,P00013,C00034,161.50,monthly,Under 35,2023-09-02,2023-09-01,paid,cheque
PRM000081,P00015,C00059,272.00,monthly,75+,2023-09-02,2023-08-30,paid,pad
PRM000082,P00111,C00134,140.00,monthly,Under 35,2023-09-02,2023-09-02,paid,cheque
PRM000083,P00027,C00025,84.00,monthly,65-74,2023-09-03,2023-09-03,paid,credit_card
PRM000084,P00037,C00102,45.00,monthly,Under 35,2023-09-03,2023-09-02,paid,pad
PRM000085,P00084,C00019,152.95,monthly,35-44,2023-09-03,2023-09-01,paid,pad
PRM000086,P00019,C00014,204.00,monthly,65-74,2023-09-04,2023-09-04,paid,pad
PRM000087,P00160,C00018,85.00,monthly,Under 35,2023-09-04,2023-09-03,paid,cheque
PRM000088,P00081,C00066,218.40,monthly,45-54,2023-09-05,2023-09-25,late,cheque
PRM000089,P00164,C00084,499.20,monthly,75+,2023-09-05,2023-09-03,paid,credit_card
PRM000090,P00082,C00143,51.75,monthly,35-44,2023-09-06,2023-09-04,paid,cheque
PRM000091,P00135,C00135,448.00,monthly,75+,2023-09-06,2023-09-09,late,cheque
PRM000092,P00065,C00047,192.00,monthly,75+,2023-09-07,2023-09-07,paid,pad
PRM000093,P00133,C00097,530.40,monthly,65-74,2023-09-07,2023-09-07,paid,cheque
PRM000094,P00089,C00099,155.25,quarterly,35-44,2023-09-09,2023-09-06,paid,pad
PRM000095,P00147,C00057,35.00,monthly,Under 35,2023-09-09,2023-09-07,paid,pad
PRM000096,P00057,C00033,49.00,monthly,45-54,2023-09-10,2023-09-08,paid,cheque
PRM000097,P00003,C00107,85.00,monthly,Under 35,2023-09-12,2023-09-16,late,credit_card
PRM000098,P00066,C00064,842.40,quarterly,55-64,2023-09-13,2023-09-10,paid,cheque
PRM000099,P00138,C00105,196.00,monthly,45-54,2023-09-13,2023-09-10,paid,credit_card
PRM000100,P00058,C00077,69.00,monthly,35-44,2023-09-14,2023-09-14,paid,pad
PRM000101,P00107,C00099,403.65,quarterly,35-44,2023-09-15,2023-09-14,paid,cheque
PRM000102,P00118,C00146,530.40,monthly,65-74,2023-09-15,2023-09-13,paid,credit_card
PRM000103,P00137,C00064,397.80,monthly,55-64,2023-09-15,2023-09-15,paid,credit_card
PRM000104,P00020,C00131,638.40,monthly,65-74,2023-09-16,2023-09-16,paid,pad
PRM000105,P00142,C00091,161.50,monthly,Under 35,2023-09-17,2023-09-14,paid,cheque
PRM000106,P00172,C00137,842.40,quarterly,65-74,2023-09-18,,missed,
PRM000107,P00098,C00089,192.00,monthly,75+,2023-09-20,2023-09-20,paid,credit_card
PRM000108,P00076,C00021,228.00,monthly,Under 35,2023-09-21,2023-09-19,paid,credit_card
PRM000109,P00042,C00129,478.80,monthly,55-64,2023-09-22,2023-09-19,paid,pad
PRM000110,P00125,C00027,336.00,monthly,65-74,2023-09-25,2023-09-22,paid,cheque
PRM000111,P00014,C00040,108.00,monthly,65-74,2023-09-26,2023-09-23,paid,cheque
PRM000112,P00117,C00014,84.00,monthly,65-74,2023-09-26,2023-09-25,paid,pad
PRM000113,P00069,C00005,384.00,monthly,75+,2023-09-27,2023-10-09,late,credit_card
PRM000114,P00096,C00008,63.00,monthly,55-64,2023-09-27,2023-09-26,paid,credit_card
PRM000115,P00046,C00149,364.00,monthly,Under 35,2023-09-28,2023-09-27,paid,cheque
PRM000116,P00050,C00034,66.50,monthly,Under 35,2023-09-28,2023-09-26,paid,credit_card
PRM000117,P00101,C00068,49.00,monthly,45-54,2023-09-28,2023-09-25,paid,cheque
PRM000118,P00158,C00008,290.70,monthly,55-64,2023-09-28,2023-09-25,paid,credit_card
PRM000119,P00018,C00149,117.00,monthly,Under 35,2023-09-30,2023-09-30,paid,credit_card
PRM000120,P00053,C00104,1008.00,quarterly,65-74,2023-10-01,2023-09-29,paid,credit_card
PRM000121,P00171,C00076,272.00,monthly,75+,2023-10-01,2023-09-30,paid,pad
PRM000122,P00013,C00034,161.50,monthly,Under 35,2023-10-02,2023-10-01,paid,pad
PRM000123,P00015,C00059,272.00,monthly,75+,2023-10-02,2023-10-21,late,credit_card
PRM000124,P00111,C00134,140.00,monthly,Under 35,2023-10-02,2023-10-02,paid,pad
PRM000125,P00027,C00025,84.00,monthly,65-74,2023-10-03,2023-10-03,paid,credit_card
PRM000126,P00037,C00102,45.00,monthly,Under 35,2023-10-03,2023-09-30,paid,credit_card
PRM000127,P00084,C00019,152.95,monthly,35-44,2023-10-03,2023-10-01,paid,cheque
PRM000128,P00019,C00014,204.00,monthly,65-74,2023-10-04,2023-10-02,paid,pad
PRM000129,P00160,C00018,85.00,monthly,Under 35,2023-10-04,2023-10-01,paid,pad
PRM000130,P00081,C00066,218.40,monthly,45-54,2023-10-05,2023-10-04,paid,cheque
PRM000131,P00164,C00084,499.20,monthly,75+,2023-10-05,2023-10-05,paid,credit_card
PRM000132,P00082,C00143,51.75,monthly,35-44,2023-10-06,2023-10-03,paid,credit_card
PRM000133,P00135,C00135,448.00,monthly,75+,2023-10-06,2023-10-26,late,pad
PRM000134,P00065,C00047,192.00,monthly,75+,2023-10-07,2023-10-07,paid,pad
PRM000135,P00133,C00097,530.40,monthly,65-74,2023-10-07,2023-10-05,paid,cheque
PRM000136,P00062,C00096,255.00,quarterly,Under 35,2023-10-08,2023-10-05,paid,cheque
PRM000137,P00147,C00057,35.00,monthly,Under 35,2023-10-09,2023-10-06,paid,pad
PRM000138,P00057,C00033,49.00,monthly,45-54,2023-10-10,2023-10-08,paid,cheque
PRM000139,P00003,C00107,85.00,monthly,Under 35,2023-10-12,2023-10-09,paid,pad
PRM000140,P00091,C00090,917.70,quarterly,35-44,2023-10-13,2023-10-11,paid,pad
PRM000141,P00138,C00105,196.00,monthly,45-54,2023-10-13,2023-10-12,paid,credit_card
PRM000142,P00058,C00077,69.00,monthly,35-44,2023-10-14,2023-10-14,paid,pad
PRM000143,P00118,C00146,530.40,monthly,65-74,2023-10-15,2023-10-12,paid,pad
PRM000144,P00137,C00064,397.80,monthly,55-64,2023-10-15,2023-10-12,paid,credit_card
PRM000145,P00020,C00131,638.40,monthly,65-74,2023-10-16,2023-11-03,late,cheque
PRM000146,P00156,C00127,266.00,monthly,Under 35,2023-10-16,2023-10-14,paid,credit_card
PRM000147,P00008,C00145,105.00,quarterly,Under 35,2023-10-17,2023-10-14,paid,credit_card
PRM000148,P00141,C00092,199.50,quarterly,Under 35,2023-10-17,2023-10-17,paid,pad
PRM000149,P00142,C00091,161.50,monthly,Under 35,2023-10-17,2023-10-16,paid,pad
PRM000150,P00103,C00141,484.50,quarterly,Under 35,2023-10-19,2023-10-16,paid,pad
PRM000151,P00098,C00089,192.00,monthly,75+,2023-10-20,2023-10-18,paid,credit_card
PRM000152,P00076,C00021,228.00,monthly,Under 35,2023-10-21,2023-10-21,paid,pad
PRM000153,P00042,C00129,478.80,monthly,55-64,2023-10-22,2023-10-29,late,credit_card
PRM000154,P00109,C00029,80.50,monthly,35-44,2023-10-22,2023-10-20,paid,cheque
PRM000155,P00125,C00027,336.00,monthly,65-74,2023-10-25,2023-10-25,paid,pad
PRM000156,P00014,C00040,108.00,monthly,65-74,2023-10-26,2023-10-23,paid,cheque
PRM000157,P00073,C00111,210.60,monthly,55-64,2023-10-26,,missed,
PRM000158,P00117,C00014,84.00,monthly,65-74,2023-10-26,2023-10-23,paid,pad
PRM000159,P00069,C00005,384.00,monthly,75+,2023-10-27,2023-10-24,paid,credit_card
PRM000160,P00096,C00008,$63.00 CAD,monthly,55-64,2023-10-27,2023-10-25,paid,credit_card
PRM000161,P00046,C00149,364.00,monthly,Under 35,2023-10-28,,missed,
PRM000162,P00050,C00034,66.50,monthly,Under 35,2023-10-28,2023-10-28,paid,pad
PRM000163,P00101,C00068,49.00,monthly,45-54,2023-10-28,2023-10-26,paid,cheque
PRM000164,P00158,C00008,290.70,monthly,55-64,2023-10-28,2023-10-27,paid,credit_card
PRM000165,P00110,C00093,112.00,monthly,75+,2023-10-29,2023-11-14,late,pad
PRM000166,P00018,C00149,117.00,monthly,Under 35,2023-10-30,2023-10-28,paid,credit_card
PRM000167,P00171,C00076,272.00,monthly,75+,2023-11-01,2023-11-21,late,cheque
PRM000168,P00013,C00034,161.50,monthly,Under 35,2023-11-02,2023-11-01,paid,cheque
PRM000169,P00015,C00059,272.00,monthly,75+,2023-11-02,2023-10-31,paid,credit_card
PRM000170,P00111,C00134,140.00,monthly,Under 35,2023-11-02,2023-11-02,paid,cheque
PRM000171,P00027,C00025,84.00,monthly,65-74,2023-11-03,2023-11-07,late,credit_card
PRM000172,P00037,C00102,45.00,monthly,Under 35,2023-11-03,2023-11-03,paid,pad
PRM000173,P00084,C00019,152.95,monthly,35-44,2023-11-03,2023-10-31,paid,cheque
PRM000174,P00019,C00014,204.00,monthly,65-74,2023-11-04,2023-11-01,paid,cheque
PRM000175,P00160,C00018,85.00,monthly,Under 35,2023-11-04,2023-11-04,paid,pad
PRM000176,P00081,C00066,218.40,monthly,45-54,2023-11-05,2023-11-23,late,credit_card
PRM000177,P00164,C00084,499.20,monthly,75+,2023-11-05,2023-11-05,paid,pad
PRM000178,P00082,C00143,51.75,monthly,35-44,2023-11-06,2023-11-04,paid,cheque
PRM000179,P00135,C00135,448.00,monthly,75+,11/06/2023,2023-11-03,paid,pad
PRM000180,P00065,C00047,192.00,monthly,75+,2023-11-07,2023-11-04,paid,credit_card
PRM000181,P00133,C00097,530.40,monthly,65-74,2023-11-07,2023-11-07,paid,pad
PRM000182,P00147,C00057,35.00,monthly,Under 35,2023-11-09,2023-11-09,paid,pad
PRM000183,P00009,C00037,588.00,quarterly,45-54,2023-11-10,2023-11-07,paid,cheque
PRM000184,p00057 ,C00033,49.00,monthly,45-54,11/10/2023,2023-11-07,Paid ,cheque
PRM000185,P00124,C00119,210.60,monthly,55-64,2023-11-11,2023-11-08,paid,pad
PRM000186,P00003,C00107,85.00,monthly,Under 35,2023-11-12,2023-11-12,paid,cheque
PRM000187,P00138,C00105,196.00,monthly,45-54,2023-11-13,2023-11-13,paid,pad
PRM000188,P00058,C00077,69.00,monthly,35-44,2023-11-14,2023-11-12,paid,pad
PRM000189,P00118,C00146,530.40,monthly,65-74,2023-11-15,2023-12-02,late,pad
PRM000190,P00137,C00064,$397.80 CAD,monthly,55-64,2023-11-15,2023-11-13,paid,pad
PRM000191,P00020,C00131,638.40,monthly,65-74,2023-11-16,2023-11-15,paid,pad
PRM000192,P00156,C00127,266.00,monthly,Under 35,2023-11-16,2023-11-16,paid,pad
PRM000193,P00142,C00091,161.50,monthly,Under 35,2023-11-17,2023-11-16,paid,pad
PRM000194,P00098,C00089,192.00,monthly,75+,2023-11-20,2023-11-19,paid,credit_card
PRM000195,P00076,C00021,228.00,monthly,Under 35,2023-11-21,2023-11-19,paid,cheque
PRM000196,P00042,C00129,478.80,monthly,55-64,2023-11-22,2023-11-21,paid,cheque
PRM000197,P00109,C00029,80.50,monthly,35-44,2023-11-22,2023-11-21,paid,pad
PRM000198,P00029,C00044,189.00,quarterly,45-54,2023-11-24,2023-11-24,paid,credit_card
PRM000199,P00125,C00027,336.00,monthly,65-74,2023-11-25,2023-11-25,paid,pad
PRM000200,P00014,C00040,108.00,monthly,65-74,2023-11-26,2023-11-26,paid,credit_card
PRM000201,P00073,C00111,210.60,monthly,55-64,2023-11-26,2023-11-23,paid,pad
PRM000202,P00117,C00014,84.00,monthly,65-74,2023-11-26,2023-11-25,paid,cheque
PRM000203,P00069,C00005,384.00,monthly,75+,2023-11-27,2023-11-24,paid,credit_card
PRM000204,P00096,C00008,63.00,monthly,55-64,2023-11-27,2023-11-26,paid,credit_card
PRM000205,P00046,C00149,364.00,monthly,Under 35,2023-11-28,2023-11-25,paid,credit_card
PRM000206,P00050,C00034,66.50,monthly,Under 35,2023-11-28,2023-11-25,paid,credit_card
PRM000207,P00101,C00068,49.00,monthly,45-54,2023-11-28,2023-11-25,paid,cheque
PRM000208,P00158,C00008,290.70,monthly,55-64,2023-11-28,2023-11-26,paid,cheque
PRM000209,P00077,C00147,91.00,monthly,Under 35,2023-11-29,2023-11-28,paid,credit_card
PRM000210,P00110,C00093,112.00,monthly,75+,2023-11-29,2023-11-28,paid,cheque
PRM000211,P00018,C00149,117.00,monthly,Under 35,2023-11-30,2023-11-27,paid,pad
PRM000212,P00171,C00076,272.00,monthly,75+,2023-12-01,2023-12-01,paid,credit_card
PRM000213,P00013,C00034,161.50,monthly,Under 35,2023-12-02,2023-12-02,paid,cheque
PRM000214,P00015,C00059,272.00,monthly,75+,2023-12-02,2023-12-01,paid,credit_card
PRM000215,P00111,C00134,140.00,monthly,Under 35,2023-12-02,2023-11-30,paid,pad
PRM000216,P00126,C00089,272.00,monthly,75+,2023-12-02,2023-12-01,paid,pad
PRM000217,P00027,C00025,84.00,monthly,65-74,2023-12-03,2023-12-02,paid,pad
PRM000218,P00037,C00102,45.00,monthly,Under 35,2023-12-03,2023-12-03,paid,cheque
PRM000219,P00084,C00019,152.95,monthly,35-44,2023-12-03,2023-12-01,paid,cheque
PRM000220,P00019,C00014,204.00,monthly,65-74,2023-12-04,2023-12-03,paid,credit_card
PRM000221,P00160,C00018,85.00,monthly,Under 35,2023-12-04,2023-12-21,late,credit_card
PRM000222,P00081,C00066,218.40,monthly,45-54,2023-12-05,2023-12-04,paid,cheque
PRM000223,P00164,C00084,499.20,monthly,75+,2023-12-05,2023-12-04,paid,pad
PRM000224,P00082,C00143,51.75,monthly,35-44,2023-12-06,2023-12-05,paid,credit_card
PRM000225,P00135,C00135,448.00,monthly,75+,2023-12-06,2023-12-05,paid,pad
PRM000226,P00065,C00047,192.00,monthly,75+,2023-12-07,2023-12-05,paid,pad
PRM000227,P00094,C00056,45.00,monthly,Under 35,2023-12-07,2023-12-05,paid,credit_card
PRM000228,P00133,C00097,530.40,monthly,65-74,2023-12-07,2023-12-04,paid,cheque
PRM000229,P00089,C00099,155.25,quarterly,35-44,2023-12-09,2023-12-07,paid,cheque
PRM000230,P00147,C00057,35.00,monthly,Under 35,2023-12-09,,missed,
PRM000231,P00057,C00033,49.00,monthly,45-54,2023-12-10,2023-12-09,paid,pad
PRM000232,P00175,C00024,180.00,quarterly,Under 35,2023-12-10,2023-12-10,paid,credit_card
PRM000233,P00124,C00119,210.60,monthly,55-64,2023-12-11,2023-12-09,paid,credit_card
PRM000234,P00003,C00107,85.00,monthly,Under 35,2023-12-12,2023-12-12,paid,cheque
PRM000235,P00066,C00064,842.40,quarterly,55-64,2023-12-13,2023-12-13,paid,cheque
PRM000236,P00080,C00042,615.60,quarterly,55-64,2023-12-13,2023-12-13,paid,pad
PRM000237,P00138,C00105,196.00,monthly,45-54,2023-12-13,2023-12-13,paid,credit_card
PRM000238,P00058,C00077,69.00,monthly,35-44,2023-12-14,2023-12-14,paid,credit_card
PRM000239,P00123,C00042,108.00,monthly,55-64,2023-12-14,2023-12-13,paid,cheque
PRM000240,P00107,C00099,403.65,quarterly,35-44,2023-12-15,2023-12-12,paid,cheque
PRM000241,P00118,C00146,530.40,monthly,65-74,2023-12-15,2023-12-12,paid,credit_card
PRM000242,P00137,C00064,397.80,monthly,55-64,2023-12-15,2023-12-13,paid,credit_card
PRM000243,P00020,C00131,638.40,monthly,65-74,2023-12-16,2023-12-13,paid,cheque
PRM000244,P00156,C00127,266.00,monthly,Under 35,2023-12-16,2023-12-13,paid,pad
PRM000245,P00142,C00091,161.50,monthly,Under 35,2023-12-17,2023-12-15,paid,cheque
PRM000246,P00172,C00137,842.40,quarterly,65-74,2023-12-18,2023-12-15,paid,cheque
PRM000247,P00098,C00089,192.00,monthly,75+,2023-12-20,2023-12-18,paid,pad
PRM000248,P00076,C00021,228.00,monthly,Under 35,2023-12-21,2023-12-21,paid,credit_card
PRM000249,P00042,C00129,478.80,monthly,55-64,2023-12-22,2024-01-14,late,cheque
PRM000250,P00109,C00029,80.50,monthly,35-44,2023-12-22,2023-12-19,paid,credit_card
PRM000251,P00031,C00144,98.00,monthly,45-54,2023-12-23,2023-12-23,paid,pad
PRM000252,P00125,C00027,336.00,monthly,65-74,2023-12-25,2023-12-24,paid,pad
PRM000253,P00014,C00040,108.00,monthly,65-74,2023-12-26,2023-12-24,paid,cheque
PRM000254,P00073,C00111,210.60,monthly,55-64,2023-12-26,2023-12-24,paid,credit_card
PRM000255,p00117 ,C00014,84.00,monthly,65-74,2023-12-26,2023-12-26,paid,pad
PRM000256,P00069,C00005,384.00,monthly,75+,2023-12-27,2023-12-24,paid,credit_card
PRM000257,P00096,C00008,63.00,monthly,55-64,2023-12-27,2023-12-27,paid,pad
PRM000258,P00046,C00149,364.00,monthly,Under 35,2023-12-28,2023-12-28,paid,cheque
PRM000259,P00050,C00034,66.50,monthly,Under 35,2023-12-28,2023-12-28,paid,pad
PRM000260,P00068,C00056,70.00,monthly,Under 35,2023-12-28,2023-12-28,paid,pad
PRM000261,P00101,C00068,49.00,monthly,45-54,2023-12-28,2023-12-27,paid,cheque
PRM000262,P00158,C00008,290.70,monthly,55-64,2023-12-28,2023-12-26,paid,pad
PRM000263,P00077,C00147,91.00,monthly,Under 35,2023-12-29,2023-12-28,paid,pad
PRM000264,P00110,C00093,112.00,monthly,75+,2023-12-29,2023-12-29,paid,credit_card
PRM000265,P00018,C00149,117.00,monthly,Under 35,2023-12-30,2023-12-27,paid,pad
PRM000266,P00054,C00150,290.70,monthly,55-64,2023-12-30,2023-12-29,paid,cheque
PRM000267,P00053,C00104,1008.00,quarterly,65-74,2024-01-01,2024-01-01,paid,cheque
PRM000268,P00171,C00076,272.00,monthly,75+,2024-01-01,2024-01-19,late,pad
PRM000269,P00013,C00034,$161.50 CAD,monthly,Under 35,2024-01-02,2024-01-02,paid,cheque
PRM000270,P00015,C00059,272.00,monthly,75+,2024-01-02,2024-01-02,paid,cheque
PRM000271,P00111,C00134,140.00,monthly,Under 35,2024-01-02,2023-12-31,paid,pad
PRM000272,P00126,C00089,272.00,monthly,75+,2024-01-02,2023-12-31,paid,pad
PRM000273,P00027,C00025,84.00,monthly,65-74,2024-01-03,2024-01-02,paid,cheque
PRM000274,P00037,C00102,45.00,monthly,Under 35,2024-01-03,2023-12-31,paid,cheque
PRM000275,P00084,C00019,152.95,monthly,35-44,2024-01-03,2024-01-13,late,credit_card
PRM000276,P00011,C00109,2304.00,yearly,75+,2024-01-04,2024-01-01,paid,cheque
PRM000277,P00019,C00014,204.00,monthly,65-74,2024-01-04,2024-01-01,paid,cheque
PRM000278,P00160,C00018,85.00,monthly,Under 35,2024-01-04,2024-01-03,paid,cheque
PRM000279,P00081,C00066,218.40,monthly,45-54,2024-01-05,2024-01-03,paid,pad
PRM000280,P00164,C00084,499.20,monthly,75+,2024-01-05,2024-01-03,paid,credit_card
PRM000281,P00082,C00143,51.75,monthly,35-44,2024-01-06,2024-01-06,paid,cheque
PRM000282,P00135,C00135,448.00,monthly,75+,2024-01-06,2024-01-18,late,cheque
PRM000283,P00065,C00047,192.00,monthly,75+,2024-01-07,2024-01-07,paid,pad
PRM000284,P00094,C00056,45.00,monthly,Under 35,2024-01-07,2024-01-06,paid,credit_card
PRM000285,P00133,C00097,530.40,monthly,65-74,2024-01-07,2024-01-05,paid,cheque
PRM000286,P00062,C00096,255.00,quarterly,Under 35,2024-01-08,2024-01-13,late,cheque
PRM000287,P00052,C00082,1344.00,quarterly,75+,2024-01-09,2024-01-08,paid,pad
PRM000288,P00139,C00035,1296.00,yearly,65-74,2024-01-09,2024-01-17,late,cheque
PRM000289,P00147,C00057,35.00,monthly,Under 35,2024-01-09,2024-01-07,paid,credit_card
PRM000290,P00057,C00033,49.00,monthly,45-54,2024-01-10,2024-01-10,paid,pad
PRM000291,P00124,C00119,210.60,monthly,55-64,2024-01-11,2024-01-09,paid,pad
PRM000292,P00157,C00032,208.00,single,55-64,2024-01-11,2024-01-08,paid,cheque
PRM000293,P00003,C00107,85.00,monthly,Under 35,2024-01-12,2024-01-09,paid,pad
PRM000294,P00091,C00090,917.70,quarterly,35-44,2024-01-13,2024-01-13,paid,pad
PRM000295,P00132,C00108,40.25,monthly,35-44,2024-01-13,2024-01-10,paid,cheque
